"nazwa";"IG"
"Ocet winny";5
"Awokado";10
"Agrest";15
"Brukselka";15
"Cebula";15
"Cykoria";15
"Fasola szparagowa";15
"Kalafior";15
"Kapusta bia³a";15
"Kapusta czerwona";15
"Kapusta kiszona";15
"Kapusta w³oska";15
"Kurka œwie¿a, grzyb";15
"Migda³y";15
"Ogórek";15
"Kiszone ogórki";15
"Oliwki";15
"Orzechy arachidowe";15
"Orzechy laskowe";15
"Orzechy nerkowca";15
"Orzechy pistacjowe";15
"Orzechy w³oskie";15
"Orzeszki ziemne";15
"Papryka czerwona";15
"Por";15
"Porzeczki czarne";15
"Rabarabar";15
"Sa³ata";15
"Szczaw";15
"Szparagi";15
"Szpinak";15
"Czekolada gorzka";20
"Czereœnie";20
"Karczochy";20
"Kakao gorzkie";20
"Pêdy bambusa";20
"Bak³a¿an";20
"Borowik suszony";15
"Borowik œwie¿y";15
"Borówki";25
"Porzeczki czerwone";25
"Dynia, pestki";25
"Je¿yny";25
"Maliny";25
"Truskawki";25
"Wiœnie";25
"Soczewica, suche ziarno";25
"Buraki";30
"Ciecierzyca gotowana";30
"Czerwona soczewica";30
"Czosnek";30
"D¿em niskos³odzony";30
"Grejfrut";30
"Gruszka";30
"Mandarynka";30
"Marakuja ";30
"Marchew";30
"Morele ";30
"Pomelo";30
"Pomidor";30
"Rzepa";30
"Soczewica ¿ó³ta";30
"Ser twarogowy chudy";30
"Amarantus";35
"Fasola bia³a, ziarno suche ";35
"Brzoskwinia";35
"Ciecierzyca z puszki";35
"Dro¿d¿e piekarskie";35
"Ry¿ dziki amerykañski";35
"Figi œwie¿e";35
"Granat";35
"Mak";35
"Groszek zielony";35
"Jab³ko";35
"Jab³ko suszone";35
"Jogurt naturalny 0% t³uszczu";35
"Komosa ry¿owa";35
"M¹ka z ciecierzycy";35
"Musztarda";35
"S³onecznik ziarno";35
"Pigwa";35
"Pomarañcza";35
"Pomidory suszone";35
"Seler korzeñ";35
"Œliwki";35
"Sok pomidorowy";35
"Wino bia³e wytrawne ";0
"Wino czerwone wytrawne";0
"Fasola bia³a, konserwa";40
"Figi suszone";40
"Chleb pumpernikiel";40
"Otrêby pszenne";40
"Otrêby owisane";40
"Kasza gryczana";40
"Makaron razowy";40
"Mas³o orzechowe";40
"Mleko kokosowe";40
"Morele suszone";40
"Œliwki suszone";40
"P³atki owsiane";40
"Sok marchwiowy";40
"Ananas";45
"Banan";60
